City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,tateyama,34.9833,139.8667,286.76,55,67,4.21,JP,1675744837
333,ibra,22.6906,58.5334,295.33,45,56,0.83,OM,1675744838
334,srednekolymsk,67.45,153.6833,235.64,98,95,2.5,RU,1675744839
335,palmas,-10.2128,-48.3603,298.08,94,40,2.06,BR,1675744840
336,makat,47.6469,53.3463,269.62,88,100,8.7,KZ,1675744840
337,santa rita,-7.1139,-34.9781,296.52,94,40,1.54,BR,1675744844
338,honavar,14.2833,74.45,302.95,42,97,0.84,IN,1675744844
339,luderitz,-26.6481,15.1594,291.11,86,13,5.95,NA,1675744845
340,cabo san lucas,22.8909,-109.9124,293.43,65,54,3.48,MX,1675744846
341,bumba,2.1833,22.4667,293.3,59,45,0.74,CD,1675744847
342,oranjemund,-28.55,16.4333,291.34,95,100,4.27,NA,1675744847
343,sai buri,6.7013,101.6168,300.99,69,81,4.07,TH,1675744848
344,waingapu,-9.6567,120.2641,302.57,69,61,6.44,ID,1675744848
345,kon tum,14.35,108.0,305.87,33,91,0.81,VN,1675744848
346,linhares,-19.3911,-40.0722,295.94,96,53,1.32,BR,1675744849
347,camp verde,34.5636,-111.8543,280.45,50,34,2.71,US,1675744849
348,richards bay,-28.783,32.0377,296.59,90,10,2.33,ZA,1675744850
349,melfi,40.9965,15.6514,271.76,75,33,2.82,IT,1675744850
350,umm lajj,25.0213,37.2685,291.82,51,100,5.92,SA,1675744850
351,bull savanna,17.8868,-77.5902,294.53,84,5,2.75,JM,1675744851
352,guhagar,17.4842,73.1929,301.52,34,91,1.95,IN,1675744851
353,banda aceh,5.5577,95.3222,301.73,70,86,1.59,ID,1675744851
354,ucluelet,48.9329,-125.5528,282.64,93,100,1.79,CA,1675744852
355,port lincoln,-34.7333,135.8667,296.54,56,0,4.13,AU,1675744852
356,svetlogorsk,52.6333,29.7333,269.05,97,95,1.8,BY,1675744852
357,kurakh,41.5849,47.7831,271.93,82,100,0.43,RU,1675744853
358,saint anthony,45.0205,-93.218,275.03,93,100,2.57,US,1675744853
359,kutum,14.2,24.6667,285.26,29,37,3.23,SD,1675744853
360,udachnyy,66.4167,112.4,238.95,73,100,1.13,RU,1675744854
361,seoul,37.5683,126.9778,279.93,55,75,3.6,KR,1675744425
362,chadiza,-14.0678,32.4392,291.47,97,100,2.73,ZM,1675744854
363,latung,5.5,120.8833,300.44,76,90,3.41,PH,1675744855
364,dunedin,-45.8742,170.5036,288.04,81,100,4.02,NZ,1675744708
365,wagar,16.1525,36.2032,293.41,83,35,6.78,SD,1675744855
366,avera,33.194,-82.5271,278.88,59,39,2.58,US,1675744855
367,leh,34.1667,77.5833,260.8,77,81,0.07,IN,1675744856
368,san pedro jocopilas,15.0944,-91.1514,285.01,96,8,0.7,GT,1675744856
369,greymouth,-42.4667,171.2,291.11,80,48,4.31,NZ,1675744856
370,mackay,-21.15,149.2,302.42,85,41,8.67,AU,1675744857
371,namatanai,-3.6667,152.4333,302.28,70,85,3.01,PG,1675744857
372,chapais,49.7834,-74.8492,255.03,86,57,3.78,CA,1675744858
373,fushe-kruje,41.4783,19.7178,269.23,63,0,1.03,AL,1675744858
374,narsaq,60.9167,-46.05,256.27,63,16,3.85,GL,1675744858
375,longyan,25.1072,117.0225,293.44,80,92,0.62,CN,1675744738
376,veraval,20.9,70.3667,297.93,54,5,3.25,IN,1675744832
377,lavrentiya,65.5833,-171.0,245.04,91,68,3.0,RU,1675744859
378,nemuro,43.3236,145.575,269.32,71,81,1.78,JP,1675744859
379,verkhoyansk,67.5447,133.385,232.46,97,100,0.62,RU,1675744859
380,zyryanka,65.75,150.85,238.96,100,100,0.49,RU,1675744860
381,pontal do parana,-25.6533,-48.5128,296.0,87,98,1.18,BR,1675744860
382,belle fourche,44.6714,-103.8522,277.07,84,15,5.59,US,1675744796
383,lillehammer,61.1146,10.4674,265.28,97,100,1.13,NO,1675744860
384,harbour breton,47.4833,-55.7983,268.09,82,100,8.14,CA,1675744861
385,talcahuano,-36.7167,-73.1167,288.97,77,0,2.06,CL,1675744861
386,nishihara,26.1842,127.7558,294.96,83,75,4.63,JP,1675744862
387,puerto escondido,15.85,-97.0667,298.61,73,0,0.0,MX,1675744863
388,nueve de julio,-35.4444,-60.8831,293.43,43,60,4.04,AR,1675744864
389,byron bay,-28.65,153.6167,301.45,60,50,4.38,AU,1675744611
390,wajima,37.4,136.9,281.53,70,75,2.06,JP,1675744868
391,clyde river,70.4692,-68.5914,240.28,68,100,1.54,CA,1675744870
392,praia da vitoria,38.7333,-27.0667,285.29,87,75,10.42,PT,1675744872
393,lorengau,-2.0226,147.2712,299.76,84,100,2.85,PG,1675744873
394,noumea,-22.2763,166.4572,298.14,73,75,5.0,NC,1675744875
395,palembang,-2.9167,104.7458,303.2,70,75,5.14,ID,1675744877
396,codrington,-38.2667,141.9667,291.53,60,25,5.86,AU,1675744880
397,toyooka,35.5333,134.8333,283.18,66,75,1.54,JP,1675744882
398,dunmore town,25.5,-76.65,295.63,71,0,7.46,BS,1675744899
399,loanda,-8.8368,13.2343,299.15,83,75,2.57,AO,1675744767
400,forio,40.7342,13.8646,279.5,66,29,7.15,IT,1675744901
401,sao filipe,14.8961,-24.4956,292.9,64,33,7.07,CV,1675744901
402,xuanhua,40.6103,115.0447,276.37,29,24,2.92,CN,1675744902
403,marinette,45.1,-87.6307,275.4,80,100,8.59,US,1675744903
404,kloulklubed,7.0419,134.2556,301.43,74,96,8.09,PW,1675744904
405,kavieng,-2.5744,150.7967,301.6,73,91,2.64,PG,1675744904
406,neuquen,-38.9516,-68.0591,294.09,46,0,0.0,AR,1675744906
407,lagos,6.5833,3.75,298.56,91,99,1.77,NG,1675744874
408,kumba,4.6363,9.4469,295.46,94,81,0.56,CM,1675744907
409,odweyne,9.4092,45.064,292.65,52,30,3.78,SO,1675744908
410,zhigansk,66.7697,123.3711,230.85,95,75,0.55,RU,1675744908
411,sola,-13.8833,167.55,300.16,77,100,3.24,VU,1675744908
412,linjiang,41.8069,126.9078,271.12,58,45,0.7,CN,1675744909
413,truckee,39.328,-120.1833,273.02,90,49,1.68,US,1675744624
414,nantucket,41.2835,-70.0995,276.23,70,100,11.83,US,1675744909
